timestamp,price,date,deviation,rolling_sigma,threshold,event,event_fixed,episode_id,supply,supply_change,f_deviation,f_dev_3d_min,f_rolling_sigma,f_zscore,supply_pct,f_flow,f_flow_abs,f_flow_3d,f_flow_7d,f_flow_vol_7d,label
1612483591,0.9974601138903628,2021-02-05,-0.002539886109637,0.0029407078974842,-0.0147035394874212,0,0,0,6267691040.0,119888257.0,-0.002539886109637,-0.0025677531920357,0.0029407078974842,-0.8636988773383081,1.9500992668716854,1.9500992668716854,1.9500992668716854,4.855220877354527,11.77391143290891,1.091609905633048,0
1612569826,1.0036076805500869,2021-02-06,0.0036076805500868,0.002951651940432,-0.0147582597021603,0,0,0,6357013405.0,89322365.0,0.0036076805500868,-0.002539886109637,0.002951651940432,1.2222581194850448,1.4251239320820064,1.4251239320820064,1.4251239320820064,5.8242072454025795,9.87494674594054,0.8169050264124067,0
1612656234,1.0005846939887308,2021-02-07,0.0005846939887308,0.0026021900110857,-0.0130109500554289,0,0,0,6474065610.0,117052205.0,0.0005846939887308,-0.002539886109637,0.0026021900110857,0.22469304172251847,1.8413081354828442,1.8413081354828442,1.8413081354828442,5.216531334436536,10.283443614553622,0.8331759926160421,0
1612743686,0.9973576249533008,2021-02-08,-0.002642375046699,0.0026048556830352,-0.0130242784151764,0,0,0,6553273763.0,79208153.0,-0.002642375046699,-0.002642375046699,0.0026048556830352,-1.0144036247029555,1.2234684937028284,1.2234684937028284,1.2234684937028284,4.489900561267679,11.293654072867444,0.6458294273976988,0
1612829067,1.0022510075876712,2021-02-09,0.0022510075876711,0.0026111048645063,-0.0130555243225315,0,0,0,6518000823.0,-35272940.0,0.0022510075876711,-0.002642375046699,0.0026111048645063,0.862090074692084,-0.5382491450174443,-0.5382491450174443,0.5382491450174443,2.5265274841682284,8.806872293604762,1.0112953621562217,0
1613001939,0.995959138336277,2021-02-11,-0.0040408616637229,0.0026620189025778,-0.0133100945128892,0,0,0,6829745740.0,84087851.0,-0.0040408616637229,-0.0040408616637229,0.0026620189025778,-1.5179688092409411,4.782830279799133,4.782830279799133,4.782830279799133,5.468049628484517,13.13356500936994,1.5938607425322255,0
1613175370,0.9995314343728025,2021-02-13,-0.0004685656271975,0.002629287721592,-0.0131464386079602,0,0,0,7101233824.0,97756512.0,-0.0004685656271975,-0.0040408616637229,0.002629287721592,-0.17821009977325325,3.975083324258577,3.975083324258577,3.975083324258577,8.219664459040267,14.65966428717963,1.77889473218615,0
1613261622,0.9957431280215662,2021-02-14,-0.0042568719784338,0.0025043789041436,-0.0125218945207181,0,0,0,7343818601.0,242584777.0,-0.0042568719784338,-0.0042568719784338,0.0025043789041436,-1.6997715367233874,3.4160933580321906,3.4160933580321906,3.4160933580321906,12.174006962089901,16.125658378340134,1.8441938315079978,0
1613347586,0.9966298678426466,2021-02-15,-0.0033701321573533,0.0025653417060449,-0.0128267085302248,0,0,0,7486771722.0,142953121.0,-0.0033701321573533,-0.0042568719784338,0.0025653417060449,-1.313716667612745,1.9465775064287927,1.9465775064287927,1.9465775064287927,9.337754188719561,16.64711195268692,1.8130608126804943,0
1613433881,0.9993443427345468,2021-02-16,-0.0006556572654532,0.002558938237485,-0.0127946911874251,0,0,0,7443119084.0,-43652638.0,-0.0006556572654532,-0.0042568719784338,0.002558938237485,-0.25622238780471673,-0.5830635635881043,-0.5830635635881043,0.5830635635881043,4.77960730087288,14.222740253615973,2.1355761337581236,0
