timestamp,price,date,deviation,rolling_sigma,threshold,event,event_fixed,episode_id,supply,supply_change,f_deviation,f_dev_3d_min,f_rolling_sigma,f_zscore,supply_pct,f_flow,f_flow_abs,f_flow_3d,f_flow_7d,f_flow_vol_7d,label
1612224215,0.997456462958835,2021-02-02,-0.0025435370411649,0.0059625443775574,-0.0298127218877874,0,0,0,26162355430.0,0.0,-0.0025435370411649,-0.006244773563568,0.0059625443775574,-0.4265858465957244,0.0,0.0,0.0,1.3555979334187063,8.218764720553008,0.8247436219005844,0
1612310483,1.00092924375145,2021-02-03,0.00092924375145,0.0059872503524978,-0.029936251762489,0,0,0,24562355430.0,-1600000000.0,0.00092924375145,-0.006244773563568,0.0059872503524978,0.15520375744139914,-6.115657301120914,-6.115657301120914,6.115657301120914,-4.760059367702207,0.4443535043548552,2.8387947097446617,0
1612397578,1.003044885883432,2021-02-04,0.0030448858834319,0.0059838165174972,-0.0299190825874863,0,0,0,26962355430.0,2400000000.0,0.0030448858834319,-0.0025435370411649,0.0059838165174972,0.5088534841481834,9.771049876872496,9.771049876872496,9.771049876872496,3.6553925757515824,8.58371515842764,4.66665495517139,0
1612483524,1.0013961086459804,2021-02-05,0.0013961086459803,0.0059826137784889,-0.0299130688924447,0,0,0,27312355430.0,350000000.0,0.0013961086459803,0.00092924375145,0.0059826137784889,0.23336098529377766,1.2981061721728082,1.2981061721728082,1.2981061721728082,4.953498747924391,7.874956823904133,4.654568462711598,0
1612569675,1.0020402100499148,2021-02-06,0.0020402100499148,0.0059844053499337,-0.0299220267496688,0,0,0,28212355430.0,900000000.0,0.0020402100499148,0.0013961086459803,0.0059844053499337,0.3409210991928217,3.295211950161714,3.295211950161714,3.295211950161714,14.364367999207019,9.60430863150481,4.727196001338734,0
1612656804,0.9939302929893078,2021-02-07,-0.0060697070106922,0.0034367407415825,-0.0171837037079129,0,1,0,28212355430.0,0.0,-0.0060697070106922,-0.0060697070106922,0.0034367407415825,-1.766123041302589,0.0,0.0,0.0,4.593318122334522,9.60430863150481,4.727196001338734,0
1612743265,0.9992704551315263,2021-02-08,-0.0007295448684736,0.003690889059523,-0.018454445297615,0,0,0,29612355430.0,1400000000.0,-0.0007295448684736,-0.0060697070106922,0.003690889059523,-0.19766101248458667,4.962364817335629,4.962364817335629,4.962364817335629,8.257576767497344,13.211075515421733,4.917825219232909,0
1612829212,1.0029681186643629,2021-02-09,0.0029681186643628,0.0037023772294858,-0.0185118861474292,0,0,0,29612355430.0,0.0,0.0029681186643628,-0.0060697070106922,0.0037023772294858,0.8016791591965964,0.0,0.0,0.0,4.962364817335629,13.211075515421733,4.917825219232909,0
1612915282,0.9955613086131868,2021-02-10,-0.004438691386813,0.0037202324955452,-0.0186011624777261,0,0,0,30612355430.0,1000000000.0,-0.004438691386813,-0.004438691386813,0.0037202324955452,-1.1931220406595877,3.3769687871127996,3.3769687871127996,3.3769687871127996,8.339333604448429,22.703701603655446,3.425615109060489,0
1613002444,0.99625650383353,2021-02-11,-0.0037434961664699,0.0038222769084305,-0.0191113845421529,0,0,0,30712355430.0,100000000.0,-0.0037434961664699,-0.004438691386813,0.0038222769084305,-0.979389054260606,0.32666548717124044,0.32666548717124044,0.32666548717124044,3.70363427428404,13.25931721395419,1.9817312585368372,0
1613088329,0.9985621807000538,2021-02-12,-0.0014378192999462,0.0038225006085875,-0.0191125030429379,0,0,0,30712355430.0,0.0,-0.0014378192999462,-0.004438691386813,0.0038225006085875,-0.3761462579537709,0.0,0.0,0.0,3.70363427428404,11.961211041781382,2.1037847683186475,0
1613174578,0.9971660636322056,2021-02-13,-0.0028339363677944,0.0035210525121833,-0.0176052625609166,0,0,0,31712355430.0,1000000000.0,-0.0028339363677944,-0.0037434961664699,0.0035210525121833,-0.8048549000586078,3.256018582746645,3.256018582746645,3.256018582746645,3.5826840699178852,11.922017674366312,2.0989053009573673,0
1613260973,0.9987743893692156,2021-02-14,-0.0012256106307844,0.0033057784185631,-0.0165288920928159,0,0,0,31712355430.0,0.0,-0.0012256106307844,-0.0028339363677944,0.0033057784185631,-0.3707479678317725,0.0,0.0,0.0,3.256018582746645,11.922017674366312,2.0989053009573673,0
1613347694,0.998185670614399,2021-02-15,-0.0018143293856009,0.0032312775853658,-0.016156387926829,0,0,0,31712355430.0,0.0,-0.0018143293856009,-0.0028339363677944,0.0032312775853658,-0.5614897939495678,0.0,0.0,0.0,3.256018582746645,6.959652857030685,1.591265076952966,0
